Id,Miestas,Gatve,Namas,Butas,Plotas,Kaina,KainaM2,Tipas,lat,lng
191,Panevėžio m.,Margirio g.,11,5,55,41.27,0.75,Savivaldybės būstas,55.717644,24.346548
192,Panevėžio m.,Margirio g.,11,8,70,51.62,0.74,Savivaldybės būstas,55.717644,24.346548
193,Panevėžio m.,Margirio g.,13,1,53,39.5,0.75,Savivaldybės būstas,55.71728,24.346514
194,Panevėžio m.,Margirio g.,13,10,53,39.46,0.74,Savivaldybės būstas,55.71728,24.346514
195,Panevėžio m.,Margirio g.,13,11,54,40.3,0.75,Savivaldybės būstas,55.71728,24.346514
196,Panevėžio m.,Margirio g.,13,12,67,47.97,0.72,Savivaldybės būstas,55.71728,24.346514
197,Panevėžio m.,Margirio g.,13,13,53,39.32,0.74,Savivaldybės būstas,55.71728,24.346514
198,Panevėžio m.,Margirio g.,13,14,53,39.46,0.74,Savivaldybės būstas,55.71728,24.346514
199,Panevėžio m.,Margirio g.,13,15,54,40.13,0.74,Savivaldybės būstas,55.71728,24.346514
200,Panevėžio m.,Margirio g.,13,16,67,47.91,0.72,Savivaldybės būstas,55.71728,24.346514
201,Panevėžio m.,Margirio g.,13,17,53,39.35,0.74,Savivaldybės būstas,55.71728,24.346514
202,Panevėžio m.,Margirio g.,13,18,53,39.34,0.74,Savivaldybės būstas,55.71728,24.346514
203,Panevėžio m.,Margirio g.,13,19,54,40.28,0.75,Savivaldybės būstas,55.71728,24.346514
204,Panevėžio m.,Margirio g.,13,2,53,39.39,0.74,Savivaldybės būstas,55.71728,24.346514
205,Panevėžio m.,Margirio g.,13,20,67,47.88,0.71,Savivaldybės būstas,55.71728,24.346514
206,Panevėžio m.,Margirio g.,13,3,54,40.18,0.74,Savivaldybės būstas,55.71728,24.346514
207,Panevėžio m.,Margirio g.,13,4,67,47.93,0.72,Savivaldybės būstas,55.71728,24.346514
208,Panevėžio m.,Margirio g.,13,5,64,47.57,0.74,Savivaldybės būstas,55.71728,24.346514
209,Panevėžio m.,Margirio g.,13,6,53,39.51,0.75,Savivaldybės būstas,55.71728,24.346514
210,Panevėžio m.,Margirio g.,13,7,54,40.33,0.75,Savivaldybės būstas,55.71728,24.346514
211,Panevėžio m.,Margirio g.,13,8,67,48.0,0.72,Savivaldybės būstas,55.71728,24.346514
212,Panevėžio m.,Margirio g.,13,9,53,39.24,0.74,Savivaldybės būstas,55.71728,24.346514
213,Panevėžio m.,Margirio g.,14,11,87,62.32,0.72,Savivaldybės būstas,55.718716,24.345594
214,Panevėžio m.,Margirio g.,15,1,55,41.23,0.75,Savivaldybės būstas,55.717255,24.345854
215,Panevėžio m.,Margirio g.,15,10,43,32.06,0.75,Savivaldybės būstas,55.717255,24.345854
216,Panevėžio m.,Margirio g.,15,11,55,40.71,0.74,Savivaldybės būstas,55.717255,24.345854
217,Panevėžio m.,Margirio g.,15,12,56,41.4,0.74,Savivaldybės būstas,55.717255,24.345854
218,Panevėžio m.,Margirio g.,15,13,68,48.84,0.72,Savivaldybės būstas,55.717255,24.345854
219,Panevėžio m.,Margirio g.,15,14,43,32.06,0.75,Savivaldybės būstas,55.717255,24.345854
220,Panevėžio m.,Margirio g.,15,15,55,40.71,0.74,Savivaldybės būstas,55.717255,24.345854
221,Panevėžio m.,Margirio g.,15,16,56,41.4,0.74,Savivaldybės būstas,55.717255,24.345854
222,Panevėžio m.,Margirio g.,15,17,68,48.84,0.72,Savivaldybės būstas,55.717255,24.345854
223,Panevėžio m.,Margirio g.,15,18,43,32.06,0.75,Savivaldybės būstas,55.717255,24.345854
224,Panevėžio m.,Margirio g.,15,19,55,40.71,0.74,Savivaldybės būstas,55.717255,24.345854
225,Panevėžio m.,Margirio g.,15,2,55,41.15,0.75,Savivaldybės būstas,55.717255,24.345854
226,Panevėžio m.,Margirio g.,15,20,56,41.4,0.74,Savivaldybės būstas,55.717255,24.345854
227,Panevėžio m.,Margirio g.,15,3,55,40.71,0.74,Savivaldybės būstas,55.717255,24.345854
228,Panevėžio m.,Margirio g.,15,4,56,41.65,0.74,Savivaldybės būstas,55.717255,24.345854
229,Panevėžio m.,Margirio g.,15,5,68,48.84,0.72,Savivaldybės būstas,55.717255,24.345854
230,Panevėžio m.,Margirio g.,15,6,43,32.06,0.75,Savivaldybės būstas,55.717255,24.345854
231,Panevėžio m.,Margirio g.,15,7,55,40.71,0.74,Savivaldybės būstas,55.717255,24.345854
232,Panevėžio m.,Margirio g.,15,8,56,41.4,0.74,Savivaldybės būstas,55.717255,24.345854
233,Panevėžio m.,Margirio g.,15,9,68,48.84,0.72,Savivaldybės būstas,55.717255,24.345854
234,Panevėžio m.,Margirio g.,16,10,69,49.51,0.72,Savivaldybės būstas,55.718136,24.345314
235,Panevėžio m.,Margirio g.,16,5,85,60.62,0.71,Savivaldybės būstas,55.718136,24.345314
236,Panevėžio m.,Margirio g.,16,8,85,60.62,0.71,Savivaldybės būstas,55.718136,24.345314
237,Panevėžio m.,Margirio g.,17,1,64,45.91,0.72,Savivaldybės būstas,55.717583,24.346014
238,Panevėžio m.,Margirio g.,17,11,50,36.89,0.74,Savivaldybės būstas,55.717583,24.346014
239,Panevėžio m.,Margirio g.,17,15,49,36.15,0.74,Savivaldybės būstas,55.717583,24.346014
240,Panevėžio m.,Margirio g.,17,16,75,53.78,0.72,Savivaldybės būstas,55.717583,24.346014
241,Panevėžio m.,Margirio g.,17,18,49,36.63,0.75,Savivaldybės būstas,55.717583,24.346014
242,Panevėžio m.,Margirio g.,17,19,75,53.81,0.72,Savivaldybės būstas,55.717583,24.346014
243,Panevėžio m.,Margirio g.,17,22,75,35.88,0.48,Savivaldybės būstas,55.717583,24.346014
244,Panevėžio m.,Margirio g.,17,23,32,23.65,0.74,Savivaldybės būstas,55.717583,24.346014
245,Panevėžio m.,Margirio g.,17,27,49,36.57,0.75,Savivaldybės būstas,55.717583,24.346014
246,Panevėžio m.,Margirio g.,17,3,48,36.11,0.75,Savivaldybės būstas,55.717583,24.346014
247,Panevėžio m.,Margirio g.,17,30,49,36.58,0.75,Savivaldybės būstas,55.717583,24.346014
248,Panevėžio m.,Margirio g.,17,4,64,45.84,0.72,Savivaldybės būstas,55.717583,24.346014
249,Panevėžio m.,Margirio g.,17,5,50,36.94,0.74,Savivaldybės būstas,55.717583,24.346014
250,Panevėžio m.,Margirio g.,17,6,49,36.15,0.74,Savivaldybės būstas,55.717583,24.346014
251,Panevėžio m.,Margirio g.,17,8,50,36.98,0.74,Savivaldybės būstas,55.717583,24.346014
252,Panevėžio m.,Margirio g.,17,9,49,36.22,0.74,Savivaldybės būstas,55.717583,24.346014
253,Panevėžio m.,Margirio g.,3,71,52,40.48,0.78,Savivaldybės būstas,55.7186,24.347569
254,Panevėžio m.,Margirio g.,9,1,67,50.01,0.75,Savivaldybės būstas,55.718197,24.346867
255,Panevėžio m.,Margirio g.,9,11,42,31.51,0.75,Savivaldybės būstas,55.718197,24.346867
256,Panevėžio m.,Margirio g.,9,12,83,61.44,0.74,Savivaldybės būstas,55.718197,24.346867
257,Panevėžio m.,Margirio g.,9,13,68,50.2,0.74,Savivaldybės būstas,55.718197,24.346867
258,Panevėžio m.,Margirio g.,9,14,43,31.79,0.74,Savivaldybės būstas,55.718197,24.346867
259,Panevėžio m.,Margirio g.,9,15,42,31.53,0.75,Savivaldybės būstas,55.718197,24.346867
260,Panevėžio m.,Margirio g.,9,16,83,61.39,0.74,Savivaldybės būstas,55.718197,24.346867
261,Panevėžio m.,Margirio g.,9,17,68,50.22,0.74,Savivaldybės būstas,55.718197,24.346867
262,Panevėžio m.,Margirio g.,9,18,42,31.65,0.75,Savivaldybės būstas,55.718197,24.346867
263,Panevėžio m.,Margirio g.,9,19,42,31.65,0.75,Savivaldybės būstas,55.718197,24.346867
264,Panevėžio m.,Margirio g.,9,2,42,31.67,0.75,Savivaldybės būstas,55.718197,24.346867
265,Panevėžio m.,Margirio g.,9,20,83,61.34,0.74,Savivaldybės būstas,55.718197,24.346867
266,Panevėžio m.,Margirio g.,9,3,42,31.63,0.75,Savivaldybės būstas,55.718197,24.346867
267,Panevėžio m.,Margirio g.,9,4,83,61.37,0.74,Savivaldybės būstas,55.718197,24.346867
268,Panevėžio m.,Margirio g.,9,5,67,50.08,0.75,Savivaldybės būstas,55.718197,24.346867
269,Panevėžio m.,Margirio g.,9,6,43,31.7,0.74,Savivaldybės būstas,55.718197,24.346867
270,Panevėžio m.,Margirio g.,9,7,42,31.64,0.75,Savivaldybės būstas,55.718197,24.346867
271,Panevėžio m.,Margirio g.,9,9,68,50.16,0.74,Savivaldybės būstas,55.718197,24.346867
272,Panevėžio m.,Nevėžio g.,20,12,55,27.36,0.5,Savivaldybės būstas,55.74161,24.3583
273,Panevėžio m.,Nevėžio g.,40,25,30,15.66,0.52,Savivaldybės būstas,55.743954,24.359564
274,Panevėžio m.,Nevėžio g.,40A,42,47,,,Savivaldybės būstas,,
275,Panevėžio m.,Nevėžio g.,40A,9,47,,,Savivaldybės būstas,,
276,Panevėžio m.,Nevėžio g.,40B,70,30,,,Savivaldybės būstas,,
277,Panevėžio m.,Nemuno g.,11,22,45,,,Savivaldybės būstas,,
278,Panevėžio m.,Nemuno g.,11,55,19,,,Savivaldybės būstas,,
279,Panevėžio m.,Nemuno g.,12,121,25,,,Savivaldybės būstas,,
280,Panevėžio m.,Nemuno g.,12,225,25,,,Savivaldybės būstas,,
281,Panevėžio m.,Nemuno g.,12,314,21,,,Savivaldybės būstas,,
282,Panevėžio m.,Nemuno g.,12,402,24,,,Savivaldybės būstas,,
283,Panevėžio m.,Nemuno g.,12,419,25,,,Savivaldybės būstas,,
284,Panevėžio m.,Nemuno g.,12,426,21,,,Savivaldybės būstas,,
285,Panevėžio m.,Nemuno g.,12,507,25,,,Savivaldybės būstas,,
286,Panevėžio m.,Nemuno g.,12,508,25,,,Savivaldybės būstas,,
287,Panevėžio m.,Nemuno g.,12,511,25,,,Savivaldybės būstas,,
288,Panevėžio m.,Nemuno g.,13,23,16,,,Savivaldybės būstas,,
289,Panevėžio m.,Nemuno g.,13,23A,23,,,Savivaldybės būstas,,
290,Panevėžio m.,Nemuno g.,13,34,16,,,Savivaldybės būstas,,
